"DeviceID","created","lastEdited","uploaded","Tree_Location","Tree_Identification","GPS_lat","GPS_lon","GPS_alt","GPS_acc","GPS_provider","GPS_bearing","Image","Height_in_feet","Diameter_Breast_Height_in_inches","Roots","Notes","Trunk","Trunk_Notes","Branches_Fronds","Branches_Notes","Recommendations","Comments"
"d346a07f9eb42ab1","1432359978909","2015-05-23 11:21:02","2015-05-23 07:55:30","M_WH_1","Cocos_nucifera_Coconut_Tree","13.514192","144.81097675","123","3","gps","0","http://plus.epicollect.net//GVB_TreeAssessment/GVB_San_Vitores_Tree_Assessment/__getImage?img=GVB_San_Vitores_Tree_Assessment_Image_b0c44298-8e87-49b8-a4b3-7c8a86ad8c3b.jpg","13","","Not_Visible","","No_Issues","Trunk is good","Medium_Brontispa_Beetle_Damage"," ","Pest_Control_Program","Insecticide treatment"
"d346a07f9eb42ab1","1432360228791","2015-05-23 11:22:29","2015-05-23 07:55:31","M_WH_2","Veitchia_merrillii_Manila_Palm","13.51381205","144.81093457","124","3","gps","0","http://plus.epicollect.net//GVB_TreeAssessment/GVB_San_Vitores_Tree_Assessment/__getImage?img=GVB_San_Vitores_Tree_Assessment_Image_8f51c014-0db3-4428-a24d-e9c1689e0605.jpg","11","","Not_Visible","","Decay","Termite damage","","Insect worm damage","Pest_Control_Program",""
"d346a07f9eb42ab1","1432360364941","2015-05-23 11:22:07","2015-05-23 07:55:32","M_WH_3","Veitchia_merrillii_Manila_Palm","13.51389926","144.81090118","126","3","gps","0","http://plus.epicollect.net//GVB_TreeAssessment/GVB_San_Vitores_Tree_Assessment/__getImage?img=GVB_San_Vitores_Tree_Assessment_Image_b6a05ace-63b5-4504-aaaf-ebc8da79fe2f.jpg","10","","Not_Visible","","No_Issues","No noticeable damage","Medium_Brontispa_Beetle_Damage","","Pest_Control_Program",""
"d346a07f9eb42ab1","1432360503946","","2015-05-23 07:55:33","M_WH_4","Yucca_aloifolia_Yucca","13.51404962","144.81091093","127.0","3.0","gps","N/A","http://plus.epicollect.net//GVB_TreeAssessment/GVB_San_Vitores_Tree_Assessment/__getImage?img=GVB_San_Vitores_Tree_Assessment_Image_658a4a1c-ee5e-449b-aefe-a6783f84973a.jpg","3","","Not_Visible","","Decay","Trunk is broken","","","Removal",""
"d346a07f9eb42ab1","1432360641343","2015-05-23 11:23:15","2015-05-23 07:55:34","M_WH_5","Cocos_nucifera_Coconut_Tree","13.51410283","144.81089146","128","3","gps","0","http://plus.epicollect.net//GVB_TreeAssessment/GVB_San_Vitores_Tree_Assessment/__getImage?img=GVB_San_Vitores_Tree_Assessment_Image_cd7ab24d-d04a-40a7-804c-1ee1fa764e54.jpg","16","","Not_Visible","","No_Issues","","Moderate_Rhino_Beetle_Damage","","Pest_Control_Program",""
"d346a07f9eb42ab1","1432360747714","","2015-05-23 07:55:34","M_WH_6","Yucca_aloifolia_Yucca","13.51409894","144.81091108","124.0","3.0","gps","N/A","http://plus.epicollect.net//GVB_TreeAssessment/GVB_San_Vitores_Tree_Assessment/__getImage?img=GVB_San_Vitores_Tree_Assessment_Image_8a2c3ca8-ba87-4136-b897-9263597d07ed.jpg","1","","Not_Visible","","Decay","Trunk is broken","","Crown rot","Removal",""
"d346a07f9eb42ab1","1432361063200","","2015-05-23 07:55:35","M_WH_7","Cocos_nucifera_Coconut_Tree","13.51477458","144.81075602","122.0","3.0","gps","N/A","http://plus.epicollect.net//GVB_TreeAssessment/GVB_San_Vitores_Tree_Assessment/__getImage?img=GVB_San_Vitores_Tree_Assessment_Image_52283472-f6f7-4257-8c84-87f6eb5a3e15.jpg","24","","Not_Visible","","Decay","Approximately 20% decay near base. ","","Minor Brontispa Beetle Damage","","Damage from previous tree spiking"
"d346a07f9eb42ab1","1432361236351","2015-05-23 11:24:20","2015-05-23 07:55:36","M_WH_8","Cocos_nucifera_Coconut_Tree","13.51485039","144.81071535","132","3","gps","0","","26","","Not_Visible","","Structural_Defects","10% physical damage at the base. ","Light_Rhino_Beetle_Damage","","Pest_Control_Program",""
"d346a07f9eb42ab1","1432361403232","2015-05-23 11:25:09","2015-05-23 07:55:37","M_WH_9","Cocos_nucifera_Coconut_Tree","13.51486568","144.81072189","125","3","gps","0","","23","","Not_Visible","","Structural_Defects","Physical damage near base. Leaning over roadway","Light_Brontispa_Beetle_Damage","","Restructuring,Pest_Control_Program","Right the tree so it isn't leaning over road"
"d346a07f9eb42ab1","1432361656357","2015-05-23 11:25:54","2015-05-23 07:55:38","M_WH_10","Tabebuia_pallida_Pink_Tacoma","13.51510493","144.810668","122","3","gps","0","http://plus.epicollect.net//GVB_TreeAssessment/GVB_San_Vitores_Tree_Assessment/__getImage?img=GVB_San_Vitores_Tree_Assessment_Image_95830f31-d566-42ac-b0fb-9fe257eec2fc.jpg","23","5","Not_Visible","","Multiple_Branches","","No_Issues","Good","Crown_thinning","Invasive species replace with Native species"
"d346a07f9eb42ab1","1432361792786","2015-05-23 11:27:25","2015-05-23 07:55:39","M_WH_11","Cocos_nucifera_Coconut_Tree","13.51524218","144.81063824","121","3","gps","0","","25","","Not_Visible","","Structural_Defects","Physical damage about 15% at 6 feet height","Moderate_Rhino_Beetle_Damage","","Pest_Control_Program",""
"d346a07f9eb42ab1","1432361906548","","2015-05-23 07:55:40","M_WH_12","Cocos_nucifera_Coconut_Tree","13.51526797","144.81059876","122.0","3.0","gps","N/A","","25","","","","Structural_Defects","Physical damage on 15% of tree at 4 feet 8 height","","","","Leaning onto traffic,  right in place"
"d346a07f9eb42ab1","1432362266908","2015-05-23 20:38:56","2015-05-23 07:55:40","M_WH_13","Cocos_nucifera_Coconut_Tree","13.51611988","144.80989103","104","8","gps","0","","24","","Not_Visible","","Structural_Defects","Trunk is tapering. Early signs of Tinangaha","Light_Brontispa_Beetle_Damage","","Removal",""
"d346a07f9eb42ab1","1432362360218","2015-05-23 20:40:34","2015-05-23 07:55:41","M_WH_14","Cocos_nucifera_Coconut_Tree","13.51602552","144.81005385","119","3","gps","0","","25","","Not_Visible","","Physical_Damage","","Medium_Brontispa_Beetle_Damage","","Pest_Control_Program",""
"d346a07f9eb42ab1","1432362515599","2015-05-23 20:44:27","2015-05-23 07:55:42","M_WH_15","Cocos_nucifera_Coconut_Tree","13.51609436","144.80993131","116","3","gps","0","","24","","Not_Visible","","Structural_Defects,Physical_Damage","Physical damage at base and tapering of trunk due to early stages of Tinangaha","Medium_Brontispa_Beetle_Damage","chlorotic leaves","Removal","Diseased trees"
"d346a07f9eb42ab1","1432362701654","2015-08-07 02:47:59","2015-05-23 07:55:43","M_WH_16","Cocos nucifera - Coconut Tree","13.516699","144.809169","109","6","gps","0","","23","","Not_Visible","","","Trunk is encroaching onto roadway","Heavy_Brontispa_Beetle_Damage","","Removal",""
"d346a07f9eb42ab1","1432362901404","2015-05-23 20:45:38","2015-05-23 07:55:44","M_WH_17","Cocos_nucifera_Coconut_Tree","13.5172387","144.80814393","108","3","gps","295.10000610352","","25","","Not_Visible","","No_Issues","","Light_Brontispa_Beetle_Damage","","Pest_Control_Program",""
"d346a07f9eb42ab1","1432362993598","2015-05-23 20:47:35","2015-05-23 07:55:45","M_WH_18","Cocos_nucifera_Coconut_Tree","13.51726685","144.80807653","103","3","gps","320.10000610352","","14","","Not_Visible","","Decay","Internal decay 30%","Medium_Brontispa_Beetle_Damage","","Removal",""
"d346a07f9eb42ab1","1432363094974","2015-05-23 20:48:18","2015-05-23 07:55:45","M_WH_19","Cocos_nucifera_Coconut_Tree","13.51728611","144.80805495","102","3","gps","317.29998779297","","27","","Not_Visible","","Physical_Damage","Physical damage about 8 feet high and 20% of tree","Medium_Brontispa_Beetle_Damage","","Pest_Control_Program",""
"d346a07f9eb42ab1","1432363198951","","2015-05-23 07:55:46","M_WH_20","Veitchia_merrillii_Manila_Palm","13.51734672","144.80788843","101.0","3.0","gps","N/A","","13","","Not_Visible","","Decay","Internal decay about 70%","","","Removal",""
"d346a07f9eb42ab1","1432363947771","2015-05-23 20:51:39","2015-05-23 07:55:47","M_JFK_1","Cocos_nucifera_Coconut_Tree","13.50198452","144.79786993","110","3","gps","0","","27","","Not_Visible","","Physical_Damage","Heavy spike damage","Light_Brontispa_Beetle_Damage","","Pest_Control_Program",""
"d346a07f9eb42ab1","1432363994217","2015-05-23 20:52:56","2015-05-23 07:55:48","M_JFK_2","Cocos_nucifera_Coconut_Tree","13.50196553","144.79785015","109","3","gps","0","","17","","Not_Visible","","No_Issues","","Heavy_Brontispa_Beetle_Damage","","Pest_Control_Program",""
"d346a07f9eb42ab1","1432364048208","2015-05-23 20:53:40","2015-05-23 07:55:49","M_JFK_3","Cocos_nucifera_Coconut_Tree","13.50197946","144.79779459","107","3","gps","99.599998474121","","22","","Not_Visible","","No_Issues","","Medium_Brontispa_Beetle_Damage","","Pest_Control_Program",""
